County,GEOID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,Cases_2019,2019_population,Cases_2019_normalized
Adams,17001.0,-0.0636237022278043,0.0332888750267285,0.0487808400890333,-0.114880316449679,0.0379010665891966,-0.0437657684449121,0.0408104699110818,0.081897738328859,0.0326588057975511,-0.0966176546278192,0.027676997668564,-0.0700366500737711,-0.0499465144765475,0.0661046507900088,-0.1766851026325658,0.0527641894335737,-0.1659994221426928,0.0572203521419282,-0.1282050833736114,0.0425456205596987,-0.0612054688731261,-0.0205608180465562,-0.0005601597494476,-0.0119844515674647,-0.0208174141863104,0.1504073305151732,-0.1120772503122234,-0.0795120456953539,0.0797992814752897,-0.0837201329235572,-0.1190105313398133,-0.0140423517455703,0.0413358362946373,-0.0676241058746351,-0.0707760217588079,-0.0453727215787294,-0.0544801306565566,-0.1629436236636828,0.0899440850342061,-0.0461576211332436,-0.0029429994542039,0.0639187414837792,0.1733946515176553,-0.1272078125951749,-0.0300240475788226,0.0442242964405796,0.1980837783870551,-0.0351982922038302,0.1348855903490643,-0.0542336111961139,-0.0057997653024793,0.0141595474495204,-0.1059644169072983,0.0707821223753108,0.111154251290155,0.1909689885164407,-0.0371180014974234,0.0940753309791057,0.0203655419087615,-0.0342421387092631,-0.1417687749866272,-0.1570638553981259,-0.164390333949341,0.0423650787563606,0.0,65435.0,0.0
Alexander,17003.0,-0.0458104796666947,-0.0236311406952301,-0.0755355275613912,-0.0363029118672253,-0.0102837340583264,-0.0077627394847034,0.1300192871837312,0.0570402089641985,0.0285747634161087,-0.0250295832024363,0.055685270197765,-0.0889757405959437,-0.0844736531081823,-0.0421460403275877,-0.1553316600931546,0.0089774371695505,-0.172552490533882,-0.0435200708459391,-0.1574569674760991,-0.0219252677035861,-0.0745780369134168,0.0620372280876163,-0.1225149322278223,-0.0186304599120891,-0.0083338003192503,0.1398109390316702,-0.0798155465551306,-0.0761778057004138,0.0245980193590785,0.0612171648225008,-0.0519709307552148,-0.0430631556602248,0.020243788322806,-0.0711780443939483,-0.0665439632233773,-0.128015174690335,-0.0469785020755309,-0.2268005362675299,0.0996568169887508,-0.0589049536000322,-0.0447894401324236,0.0630982720247545,0.2770983936694451,-0.1083451103764213,0.0695765760914517,0.1115646378494881,0.0778438777871783,-0.0567098691318719,0.1569389589894379,-0.0275928521433177,-0.1133136331140068,-0.0029015804154678,-0.06817077439499,0.016562651409167,0.0976664851362871,0.1776310135457321,-0.0114251059374529,0.046045317773278,0.0494930220334234,-0.0423235956013581,-0.049299854744294,-0.1458648871613515,-0.1023439079987505,0.0917022447017468,0.0,5761.0,0.0
Bond,17005.0,-0.0861418143212204,0.0261061509127339,0.0014727379218637,-0.1075121136550733,0.0286509234439777,-0.0469928497514358,0.0702943992700827,0.0716579468316973,0.0324212961462221,-0.1210091488326167,0.0427021601298993,-0.0584884429929093,-0.0415013327737199,0.0423316079168325,-0.1505003724598896,0.0070515848473929,-0.1988630914839971,0.0223034227447167,-0.1118043717737607,0.0376095065518995,-0.0644622136490545,0.017130838786118,0.0102364446041358,-0.0092944529690451,-0.0415958142211328,0.1769256989074607,-0.0740670674195275,-0.0538502729536753,0.0466686045519378,-0.0588447388893513,-0.1371483667246081,-0.0517984008009623,0.0588765357459678,-0.0286330614175641,-0.0546502820486153,-0.0850880729058488,-0.0669847499468657,-0.1741623326242548,0.1112060730041193,-0.04821867362988,0.0095438592330103,0.0709633809206752,0.2133387577267308,-0.1379390627345021,-0.0137034165655517,0.0623343243698993,0.1780447455498298,-0.0430876031265929,0.1666816754322161,-0.0634679359146515,-0.0383506015416356,0.0395494731086533,-0.1263182828776841,0.0289460134664957,0.151733857245923,0.1972529622123823,-0.0647241899871311,0.1118496881948882,0.001683921885032,-0.0578013031767066,-0.1293459729096341,-0.1372198719706884,-0.1408204244291129,0.0444340707359998,0.0,16426.0,0.0
Boone,17007.0,-0.0055463594880461,0.0307938882624793,0.0859393354575794,-0.1344496495447827,0.0214050636797492,-0.0449307657525437,0.0228292940791964,0.0617672014361136,0.0719184818433183,-0.0976842064258566,-0.0059956272750489,-0.0578602999786812,-0.0031472606699764,0.1388861655597289,-0.2424589603268188,0.0011955683035949,-0.1414401437989747,-0.001016352743097,-0.1224061678084136,0.0359915859707288,-0.0166048879937493,-0.0516103422420339,-0.0041428829117541,-0.0503003023621691,-0.085809688638881,0.1928514607005591,0.0475203862956254,-0.0408091366866129,0.1406212585864554,-0.0783508255682314,-0.0841285916689235,-0.0371469208184208,-0.0449222777337986,-0.0953759964936585,-0.0377512581082128,-0.0249139810406199,0.0165876191222727,-0.0848473144452079,0.1152735372633368,-0.002907138590402,-0.038575730623516,0.0882852546869147,0.1201613547169029,-0.2106331447823268,-0.0265809200324841,0.0551424515863399,0.1769805159586112,-0.0881730214305174,0.088692156914686,-0.0263824745855054,0.0022588475032822,0.0220805598412268,-0.1369772574455362,-0.0014199203342548,0.1558487651584017,0.1857951933037727,-0.0245724362614918,0.0008268480164956,0.044096439624722,-0.1506025497474444,-0.1295315761109007,-0.1393097188833916,-0.1285986351198097,0.0966575571333797,0.0,53544.0,0.0
Brown,17009.0,-0.0789479592788582,0.048019756932351,0.0379560964641327,-0.0688925380044882,0.0416044953034686,-0.0736653775036528,0.0302121643639572,0.1271336330701326,0.0664599373796002,-0.0725938379329753,0.0481883832623421,-0.0683192005252625,-0.060484386208997,0.0495575115015798,-0.1847340045142208,0.0869930931836649,-0.1636335337616131,0.0473764219793347,-0.1663555798768605,0.0332412202994215,-0.034976950007906,-0.014549992658931,-0.0170051518680998,0.0008751790203741,0.0207901697492189,0.1224158497537356,-0.1585253798785595,-0.0917027488175609,0.0724880167093015,-0.0464145185592078,-0.1161859391946944,0.0144720105118094,0.0345245517018753,-0.069477816395923,-0.0565869480959434,-0.0450679210058251,-0.0707738416267592,-0.1915013116266086,0.073881874977815,-0.07042781198301,-0.0095555409286399,0.0559941438753866,0.1855452285363848,-0.1097580970269858,-0.0408854693719394,0.0568308010128202,0.2180162364822984,-0.0684858126596704,0.1388079809904123,-0.0690961706806801,-0.0259800717194565,0.0270805366421364,-0.1004717757085429,0.0945614035521644,0.0997290753300143,0.1970065660095882,0.0085061579403535,0.0963299143785107,0.0079118391210364,-0.0265902488214339,-0.1354823321085119,-0.1598869433676537,-0.1679359456190983,0.0371524082750893,0.0,6578.0,0.0
Bureau,17011.0,-0.0243773978457173,0.044173636314659,0.0499946145320749,-0.1385044166126883,0.0153980986224698,-0.0453223537520564,0.0335352377666403,0.0679379523495544,0.0696081156220775,-0.0926640502579869,0.0149598270512416,-0.0450820430186212,0.0032407963978112,0.1121799963432649,-0.1954219729383882,-0.0272879858569093,-0.1867862511562386,0.0325800162003477,-0.134656365701452,0.031673210327979,-0.0313587798538503,-0.0138664739084148,-0.0064578317810269,-0.0593628901288481,-0.0949771785517784,0.1986698023893599,0.0227673872325796,-0.0032199883038484,0.0974610394273876,-0.1032161239161987,-0.0972031909072582,-0.0360808764336453,-0.0121397064746914,-0.076501171356824,-0.0204972274322486,-0.0437378053970392,-0.0092352770971545,-0.0863121530585934,0.1375679794511648,-0.0049461762617236,-0.0178127714812252,0.0710827061731889,0.1529385359358718,-0.2119197863272288,-0.0376426515713529,0.0637277113879389,0.2059344572627785,-0.0875579495409854,0.1138703114518681,-0.0179527124973735,0.035424196905737,0.0236862572465922,-0.1283613711251867,-0.0022894841451479,0.1392518577630898,0.1957481829131504,-0.0332806636096795,0.0428937922092512,0.0149377757270483,-0.1470622414890919,-0.1258282868037239,-0.149097731489806,-0.1453928285783874,0.0761075272846075,0.0,32628.0,0.0
Calhoun,17013.0,-0.0747637529983117,0.0202905308121055,0.0106356082841987,-0.0337255616876983,0.0112601547782839,-0.0787056969578543,0.0403482685417433,0.1194713322819761,0.0716857549852219,-0.0492585246850374,0.0731391708356289,-0.0771340972705035,-0.0542511363077148,0.0021075432694131,-0.1750979274407576,0.0436552430961469,-0.1664523082051839,0.0028681658738314,-0.1835463403138486,0.0027934297715706,-0.0273874776399603,0.0070805042780338,-0.072112547747968,0.0125646786143187,0.0205696041863638,0.0975315579134327,-0.1550987994426377,-0.1013759289980717,0.0650306441668744,0.0067932072517416,-0.091188468601173,0.0318753019322431,0.0159922180810571,-0.0688594839055459,-0.0582016548567143,-0.0248471070230063,-0.0552333519211546,-0.2040883975146415,0.0811546761458803,-0.0757110054549236,-0.0433207551825497,0.0461294737123904,0.2186029949279484,-0.1083441579801969,-0.0091923423589344,0.0876863250855185,0.1695519368625296,-0.0429912717615633,0.1288214118274228,-0.091090912347213,-0.0727747936598512,0.0356044211344163,-0.0926972542857068,0.0660392465304651,0.1059871260001383,0.169649137059838,0.0355741075289004,0.1015436804791257,-0.0165316980567495,-0.0130336830470869,-0.1113042034036456,-0.1863160626396131,-0.1375358954916071,0.0623825063304885,0.0,4739.0,0.0
Carroll,17015.0,-0.0492506555546988,0.0219320937449265,0.0715479191976912,-0.0902184686530822,0.0231045725391515,-0.1043488946870979,-0.0047098457167437,0.1394680918211622,0.0895191195387641,-0.0914158341150567,-0.0058317493427371,-0.0075009330222165,-0.0010030440885157,0.1341210787013002,-0.1860846790904616,0.0444945980300636,-0.1352058815876877,0.0242858563493343,-0.159087312631304,0.0089563100815106,0.0173030150974103,-0.0564202982405119,0.0158776221017859,0.0045966496432454,-0.0536989452642776,0.1464637985855187,-0.0398528859613016,-0.0239869656889602,0.1303780519785875,-0.1147030988412471,-0.0999315629747649,0.0009717936993028,-0.0304079007775832,-0.1040825625895885,-0.0188747656925243,0.0034092840881833,-0.0177221073787554,-0.071680303979666,0.0820825253151495,-0.0035235594795408,-0.0325075450247962,0.0507509691919626,0.1091122245347487,-0.1908114012850723,-0.0908024173462358,0.0690626842493255,0.2119297225744103,-0.0908271608085781,0.0832195820419242,-0.0335102805239312,0.0444354880563005,0.0540559111184272,-0.144126614814165,0.0286633143091912,0.1395248506866479,0.1939437984242104,0.0184861699899635,0.0527360142074227,-0.0188222156573991,-0.109927492716599,-0.137582881135206,-0.1329455872569374,-0.1628853038321193,0.0824162330514932,0.0,14305.0,0.0
Cass,17017.0,-0.07337455994682,-0.0042653678456951,0.0326207106264859,-0.1095695364170371,0.0162850823364255,-0.0886063354185395,0.0164691203770539,0.0910215347801666,0.0503014613754135,-0.1052374440228721,0.0425891571295844,-0.036535055886323,-0.0068284035475462,0.0530414544311268,-0.1469717764224157,0.0012660158521312,-0.1909599107370846,0.049165888950625,-0.1434802407443041,0.023888163610039,-0.0579448663248762,-0.0015865483867519,-0.0094795013751342,0.017104728364767,-0.0535443275727974,0.1576004901696861,-0.0450307531592653,-0.0259373216927918,0.0561623212044931,-0.0967730483116442,-0.1191417709251454,-0.0428643079113656,0.0212073705281045,-0.0440811054576352,-0.0432232511376023,-0.0396165878875575,-0.0539004699591415,-0.1004648397217319,0.1309977153253682,-0.0548763432703814,-0.0211307604235769,0.0559716927248039,0.1756238595359716,-0.1741361455349656,-0.0514885298351132,0.0563757227781688,0.205953154773107,-0.0700604511427096,0.1405843041908235,-0.0660750617398745,0.0086556599016868,0.0533482985005571,-0.1278928386157956,0.0548786174028054,0.1436031897582704,0.1851928614657881,-0.0321054632353039,0.0822443979272042,-0.0011932534329278,-0.0982056519810889,-0.1265749002840313,-0.14468124744739,-0.1471391128479562,0.0743296086025695,0.0,12147.0,0.0
Champaign,17019.0,-0.0448714295136564,-0.019131273637811,0.0193365601183682,-0.1592564584885507,-0.0014929685569075,-0.0741069271571256,0.0199518713808146,0.0528662117786223,0.0597297986062538,-0.1755021430010583,0.0501136910153661,-0.0067083767651822,0.0185954209102784,0.0446239256247097,-0.1218387554833403,-0.0054245423770844,-0.1622551769467146,0.0723051999584725,-0.105465344913308,0.0416852625294469,-0.0669155039404302,0.0571627086494009,0.0386477924623761,0.0128205319166361,-0.1230643479349873,0.2000084780620516,0.0565863294382239,0.0344367240619725,0.0225055781430861,-0.147047688165179,-0.1323734507799421,-0.1231571041648296,0.0197113974107898,-0.0079086120383063,-0.0070423242319817,-0.0890243160760484,-0.0659837308810803,-0.0338281844792987,0.1537230704913754,-0.0216226202117494,-0.0258322935089826,0.0748150775636166,0.1820317154479928,-0.2097883798611932,-0.0633292240528637,0.0762297159765005,0.1733500659845717,-0.094146823518597,0.1449333009770672,-0.0216474493840603,0.0767466930251408,0.0457319978317347,-0.1814417331385973,0.0060420669205053,0.1838787102615772,0.1927604543815822,-0.0596056608805035,0.0824459191817987,-0.0101409560030143,-0.1822387957367002,-0.093349301599784,-0.0697243475839505,-0.1350366510701738,0.0741174470981973,0.0,209689.0,0.0
