County_1,FIPS,Population,Hum_19,Pre_19,Tmax_19,Tmin_19,WS_19,LSTMean_2019,Chlorophyll_2019,Ag_MEAN_2019,Fs_MEAN_2019,Rn_MEAN_2019,Cases_normalized_2019
Adams,17001,65435,93.92157313,4.115370301,28.39002531,18.08518272,3.574132831,23.585,1.314126365,0.78,0.79,0.77,0.0
Alexander,17003,5761,96.61192499,4.050404302,30.36116525,19.34813735,2.975128266,24.869999999999997,1.531444057,0.55,0.8,0.65,0.0
Bond,17005,16426,96.25708257,5.671326377,29.29185446,18.00705811,3.691403027,23.845,1.405455721,0.81,0.83,0.82,0.0
Boone,17007,53544,95.95395371,4.712022675,26.61314856,15.17634278,3.80861198,21.745,1.218020683,0.8,0.8,0.79,0.0
Brown,17009,6578,95.36955053,3.937136324,28.35320467,17.542926,3.710814297,23.310000000000002,1.473057054,0.81,0.82,0.79,0.0
Bureau,17011,32628,93.39884198,4.961436979,27.43516298,16.46893535,3.525647419,22.215000000000003,1.281474388,0.8,0.8,0.77,0.0
Calhoun,17013,4739,94.8027085,3.932294121,29.2658014,18.56057675,3.508754085,23.45,1.680844336,0.79,0.82,0.81,0.0
Carroll,17015,14305,95.18076904,5.01388276,27.03415899,15.66668027,3.581261755,21.6,1.330440505,0.84,0.82,0.76,0.0
Cass,17017,12147,94.83411688,3.918195625,28.8089937,17.40604735,3.783598611,23.41,1.477467918,0.79,0.8,0.77,0.0
Champaign,17019,209689,93.92326856,2.601388502,28.25553718,16.73348521,3.594376899,0.0,1.193462527,0.81,0.79,0.7,0.0
Christian,17021,32304,95.09062156,4.236352111,28.67770141,17.45869173,3.717942619,23.04,1.429980055,0.83,0.81,0.79,0.0
Clark,17023,15441,95.26635442,3.829460835,29.32064914,17.36171592,3.530893135,22.92,1.244033735,0.78,0.8,0.76,0.0
Clay,17025,13184,95.95156828,3.710490325,30.0114052,18.00865699,3.511645766,0.0,1.184693103,0.76,0.8,0.78,0.0
Clinton,17027,37562,95.21361615,4.507881203,29.53059972,18.63965729,3.600190799,24.22,1.391865547,0.82,0.82,0.84,0.0
Coles,17029,50621,93.26184979,3.70835913,28.96889831,17.63748849,3.670855425,22.619999999999997,1.264959671,0.81,0.82,0.73,0.0
Cook,17031,5150233,89.9228588,4.334844701,26.7842539,16.8175323,3.803427734,23.770000000000003,0.67157164,0.63,0.73,0.61,0.271832361759167
Crawford,17033,18667,96.6908075,3.864300984,29.38995192,17.5927124,3.247755358,23.36,1.286539143,0.78,0.81,0.77,0.0
Cumberland,17035,10766,94.89812435,3.953428637,29.34408912,17.54756304,3.716080481,22.65,1.247598088,0.78,0.8,0.8,0.0
DeKalb,17037,104897,94.37639469,4.453446369,26.78076581,15.71544428,3.837925357,21.905,1.144122989,0.8,0.77,0.67,0.0
De Witt,17039,15638,93.75119496,3.167569547,28.41509485,16.94058578,3.67839549,23.09,1.239104763,0.85,0.81,0.0,0.0
Douglas,17041,19465,93.18933784,3.094822477,28.75801742,17.32572645,3.621071912,0.0,1.297516664,0.82,0.81,0.81,0.0
DuPage,17043,922921,91.60291289,4.050651112,27.48354816,16.59863457,3.864537721,23.365000000000002,0.717548667,0.72,0.73,0.76,0.0
Edgar,17045,17161,95.31694641,3.52868328,28.73195668,16.99944867,3.600924093,0.0,1.376184106,0.82,0.82,0.78,0.0
Edwards,17047,6395,96.80204304,4.039935174,30.2043547,18.32494393,3.244096483,0.0,1.246292119,0.75,0.78,0.82,0.0
Effingham,17049,34008,95.64859335,3.872667035,29.55511432,17.69435943,3.723376501,23.46,1.324320864,0.79,0.81,0.73,0.0
Fayette,17051,21336,96.51529077,4.438913904,29.11583428,17.65097949,3.684890227,23.9,1.527508567,0.81,0.82,0.75,0.0
Ford,17053,12961,94.80547943,3.052761224,28.09258544,16.3228171,3.631926837,0.0,1.255983724,0.8,0.75,0.77,0.0
Franklin,17055,38469,96.58662239,2.371064588,30.04581971,18.50542373,2.875400391,24.58,1.260631825,0.74,0.76,0.74,2.5994956978346204
Fulton,17057,34340,95.3112107,3.823457889,28.18384822,17.03248792,3.787854294,23.535,1.233910294,0.79,0.79,0.82,0.0
Gallatin,17059,4828,97.74211947,3.239441441,30.15742724,18.21871571,3.013548487,24.32,1.364532902,0.74,0.8,0.74,0.0
Greene,17061,12969,95.54249255,3.466428493,29.0524814,17.98119571,3.615838954,23.564999999999998,1.521217675,0.81,0.83,0.75,0.0
Grundy,17063,51054,93.30244061,5.462107218,27.66228502,16.44246863,3.459502834,22.58,1.260689707,0.8,0.78,0.79,0.0
Hamilton,17065,8116,96.69040573,3.034401874,30.06559514,18.35004651,3.076894709,23.715,1.312768418,0.74,0.78,0.79,0.0
Hancock,17067,17708,94.63331602,4.225619393,28.30038935,17.83392395,3.671856701,22.845,1.34754194,0.81,0.8,0.81,0.0
