,County_1,FIPS,Population,Hum_20,Pre_20,Tmax_20,Tmin_20,WS_20,LSTNight_2020,LSTDay_2020,Chlorophyll_2020,Ag_MEAN_2020,Fs_MEAN_2020,Rn_MEAN_2020,Cases_normalized_2020
0,Adams,17001,65435,92.37030173,3.153757639,28.03056487,17.06124708,3.564110968,20.04,26.53,1.487578291,0.73,0.77,0.74,0.0
1,Alexander,17003,5761,95.7510072,3.810848079,29.43386739,18.57764971,2.939468935,20.84,27.53,1.548022547,0.71,0.82,0.68,0.0
2,Bond,17005,16426,95.13529741,3.190252771,28.8691192,17.0600427,3.511251988,20.56,26.87,1.778664916,0.73,0.76,0.75,0.0
3,Boone,17007,53544,92.79567843,3.497108712,27.29448732,14.75983709,4.06674539,17.06,27.75,1.418312108,0.74,0.76,0.74,0.0
4,Brown,17009,6578,94.699153,2.975417994,28.06360517,16.52473088,3.645824757,19.61,26.41,1.735941886,0.75,0.8,0.75,0.0
5,Bureau,17011,32628,90.94754525,3.115395304,27.74003324,15.60283427,3.60977729,18.42,26.34,1.591829155,0.75,0.77,0.76,0.0
6,Calhoun,17013,4739,94.38856734,3.492924929,29.10424327,17.58130759,3.337479363,20.46,26.15,1.941569359,0.74,0.8,0.79,0.0
7,Carroll,17015,14305,91.68253083,3.232816785,27.45541426,15.11385346,3.779175458,18.59,25.36,1.612978684,0.76,0.79,0.73,0.0
8,Cass,17017,12147,94.17509594,2.540772902,28.63825988,16.38990216,3.721504263,19.83,26.62,1.835609709,0.73,0.78,0.73,0.0
9,Champaign,17019,209689,92.7614764,3.110303033,28.00506238,15.99228295,3.453715895,0.0,0.0,1.674981663,0.73,0.76,0.7,0.0
10,Christian,17021,32304,93.88344294,2.604866296,28.47237289,16.5474707,3.58799909,18.88,27.75,1.637396347,0.72,0.75,0.72,0.0
11,Clark,17023,15441,94.65672983,3.197186422,28.43449177,16.41985428,3.334522911,17.95,27.31,1.460566073,0.74,0.78,0.73,0.0
12,Clay,17025,13184,95.33390818,3.417311664,29.18343574,17.09596501,3.335514728,0.0,0.0,1.576911068,0.72,0.77,0.76,0.0
13,Clinton,17027,37562,94.97333436,3.522532961,29.03736256,17.62061917,3.41926691,22.43,25.61,1.461866798,0.72,0.77,0.67,0.0
14,Coles,17029,50621,92.42685133,3.256169538,28.56290922,16.8426758,3.487225909,17.97,27.02,1.692730083,0.74,0.78,0.57,0.0
15,Cook,17031,5150233,84.61355603,2.716444544,27.43310234,17.03958186,3.881133377,18.62,30.44,0.92161504,0.64,0.71,0.78,0.6455199397312207
16,Crawford,17033,18667,96.39232448,3.318016983,28.54138033,16.53402636,3.059309384,17.55,28.47,1.464452304,0.76,0.78,0.71,0.0
17,Cumberland,17035,10766,94.59788219,3.619201902,28.60901782,16.66927772,3.503741077,17.8,27.39,1.426709677,0.74,0.77,0.73,0.0
18,DeKalb,17037,104897,91.53273033,3.04351028,27.24227289,14.98195411,4.073757407,17.41,28.35,1.172323318,0.74,0.74,0.6,0.0
19,De Witt,17039,15638,92.17413825,2.25487504,28.26846268,16.17918602,3.607652289,19.22,27.18,1.635061379,0.73,0.75,0.0,0.0
20,Douglas,17041,19465,92.35059365,2.968156416,28.45254419,16.53913883,3.485208506,0.0,0.0,1.549374316,0.74,0.76,0.78,0.0
21,DuPage,17043,922921,88.32557239,2.468563112,27.84374185,16.16754198,4.031417639,17.19,30.11,0.737333598,0.68,0.69,0.75,0.4294112342567106
22,Edgar,17045,17161,93.8892787,3.58247349,28.63560479,16.29141005,3.406841704,0.0,0.0,1.584700955,0.74,0.78,0.73,0.0
23,Edwards,17047,6395,95.86086447,2.976660576,29.33428507,17.57542905,3.084563815,0.0,0.0,1.63982972,0.74,0.77,0.76,0.0
24,Effingham,17049,34008,94.91346333,3.107923452,28.71497772,16.81730956,3.534507726,19.66,27.78,1.461543191,0.72,0.76,0.7,0.0
25,Fayette,17051,21336,95.04736389,3.083690521,28.61551512,16.72513716,3.520937039,21.65,25.73,1.765017171,0.72,0.77,0.75,0.0
26,Ford,17053,12961,92.90159891,3.165805974,28.03492447,15.63830318,3.54163474,0.0,0.0,1.754554307,0.73,0.73,0.75,0.0
27,Franklin,17055,38469,94.66931769,2.853284537,29.19076976,18.20141875,2.741990958,22.1,26.29,1.394588297,0.73,0.76,0.74,0.0
28,Fulton,17057,34340,93.94115333,2.957664692,27.97880952,15.98403695,3.822573405,20.14,26.83,1.695702573,0.77,0.79,0.77,0.0
29,Gallatin,17059,4828,96.99471354,4.345247853,28.96347375,17.62526357,2.881095984,19.14,26.93,1.41212486,0.71,0.8,0.68,0.0
30,Greene,17061,12969,94.96145221,3.102566424,28.84349138,17.07673325,3.443906533,19.19,26.35,1.574410246,0.74,0.78,0.75,0.0
