County_1,FIPS,State,Population,X,Y,Hum_17,Pre_17,Tmax_17,Tmin_17,WS_17,Hum_18,Pre_18,Tmax_18,Tmin_18,WS_18,Hum_19,Pre_19,Tmax_19,Tmin_19,WS_19,Hum_20,Pre_20,Tmax_20,Tmin_20,WS_20,Hum_21,Pre_21,Tmax_21,Tmin_21,WS_21,Hum_22,Pre_22,Tmax_22,Tmin_22,WS_22,Hum_23,Pre_23,Tmax_23,Tmin_23,WS_23,Hum_24,Pre_24,Tmax_24,Tmin_24,WS_24
Adams,17001,Illinois,65435,-91.1848,39.9877,83.48972038,2.41457529,28.87826532,16.43038929,3.828487849,85.17500787,4.235708231,29.33740045,18.11086035,3.835810281,93.92157313,4.115370301,28.39002531,18.08518272,3.574132831,92.37030173,3.153757639,28.03056487,17.06124708,3.564110968,92.91412295,4.195617464,28.80934563,17.72788022,3.425731586,85.81279446,3.216717904,28.54055802,17.38629378,3.610065679,80.156819,2.598918835,28.81206294,16.64385195,3.509917242,86.95723323,2.887002528,28.87465134,17.1005505,3.662824982
Alexander,17003,Illinois,5761,-89.3379,37.1964,92.40908099,1.849714515,29.80049365,18.06072021,2.966212944,94.91245585,3.769076758,30.32517695,19.71844876,3.098564885,96.61192499,4.050404302,30.36116525,19.34813735,2.975128266,95.7510072,3.810848079,29.43386739,18.57764971,2.939468935,95.5957628,3.284056308,29.89927235,18.89146873,3.025801796,92.11873581,2.064861117,30.89559615,18.90465143,2.979363984,92.35483785,4.62789625,29.96826682,18.33339318,2.979814349,94.3563592,3.490334276,30.10947111,18.60180046,3.123587344
Bond,17005,Illinois,16426,-89.4356,38.8868,87.52634197,2.671293005,29.57846068,16.66475233,3.785671438,93.62165288,4.407457748,29.67491357,18.44297918,3.747461478,96.25708257,5.671326377,29.29185446,18.00705811,3.691403027,95.13529741,3.190252771,28.8691192,17.0600427,3.511251988,95.11327856,4.646224068,29.18346403,17.84423596,3.513614188,91.1820618,4.352683305,28.98086302,17.68744351,3.610157707,87.93172214,3.354471728,28.87877013,16.41571503,3.666769333,90.27960134,3.576298338,29.50177035,17.69350626,3.822610057
Boone,17007,Illinois,53544,-88.8234,42.3231,94.29935392,3.828716419,26.57944101,13.91545384,3.932771904,96.52473071,5.729556392,26.58688361,14.93039626,3.876065775,95.95395371,4.712022675,26.61314856,15.17634278,3.80861198,92.79567843,3.497108712,27.29448732,14.75983709,4.06674539,87.90389394,2.620614479,28.14521546,15.17794614,4.116745821,91.88412336,4.545900032,26.41335393,14.53263821,4.16648062,84.94161103,3.024114313,26.70637253,14.31515461,3.842082198,92.34844404,3.880356277,27.16137911,14.74633371,3.891934415
Brown,17009,Illinois,6578,-90.7503,39.9618,86.75419884,2.218833902,28.87403164,15.83493554,3.915249811,89.38544117,3.94391365,29.17197057,17.44903868,3.916483735,95.36955053,3.937136324,28.35320467,17.542926,3.710814297,94.699153,2.975417994,28.06360517,16.52473088,3.645824757,94.347897,4.322357665,28.68294271,17.3049774,3.518512432,89.681143,3.064877459,28.33742907,16.79273003,3.706306723,83.88259533,2.443423704,28.59551049,16.055039,3.595764287,89.50362611,3.176026616,28.79081194,16.78893541,3.769308891
Bureau,17011,Illinois,32628,-89.5287,41.4042,89.0000307,2.873430655,27.45474886,14.78569337,3.708971677,91.67015968,3.954624196,27.8387369,16.39619639,3.646214927,93.39884198,4.961436979,27.43516298,16.46893535,3.525647419,90.94754525,3.115395304,27.74003324,15.60283427,3.60977729,89.26717229,2.853200784,28.56453796,16.5375596,3.575292587,88.92297353,3.621550427,27.22664079,15.70156135,3.671563383,84.58572387,3.044702875,27.59148332,15.10760023,3.489477051,88.71389938,2.983536424,27.95362629,15.72181367,3.602464317
Calhoun,17013,Illinois,4739,-90.6649,39.1721,86.04599076,2.046078973,29.82173698,16.89882327,3.631391072,88.38620983,3.352707862,30.24363301,18.64780435,3.719645674,94.8027085,3.932294121,29.2658014,18.56057675,3.508754085,94.38856734,3.492924929,29.10424327,17.58130759,3.337479363,93.83462103,5.046048097,29.79486776,18.26029487,3.317796152,88.73597085,2.855357022,29.66013517,17.78822317,3.491883249,83.69184673,2.543989796,29.50914493,17.09776642,3.495144753,90.21982749,3.188559395,29.71729357,17.62986114,3.618217292
Carroll,17015,Illinois,14305,-89.9246,42.0702,92.87032763,3.382079443,27.32973734,14.05728544,3.734362144,95.3542201,5.904386687,27.46573254,15.22277209,3.721887814,95.18076904,5.01388276,27.03415899,15.66668027,3.581261755,91.68253083,3.232816785,27.45541426,15.11385346,3.779175458,88.8095265,1.930727848,28.18641898,15.6904502,3.761177277,90.16206109,4.430021883,26.785776,15.25126264,3.864512966,83.37552146,2.514305002,27.51169343,14.6070582,3.647926402,90.76206644,3.81321039,27.80334023,15.21833386,3.635180285
Cass,17017,Illinois,12147,-90.2474,39.9736,85.99288615,1.651432622,29.37981108,15.88578995,3.976608156,91.76486901,4.246243848,29.32719481,17.38767737,3.961909378,94.83411688,3.918195625,28.8089937,17.40604735,3.783598611,94.17509594,2.540772902,28.63825988,16.38990216,3.721504263,94.10017144,4.294599626,29.16418662,17.35201329,3.578033641,91.03907797,3.229439108,28.85536715,16.68223811,3.79505195,85.59834637,2.362457298,29.03254434,15.94207841,3.648923074,90.29080189,3.228968596,29.01695929,16.70637251,3.831760808
Champaign,17019,Illinois,209689,-88.1992,40.1401,87.17287352,2.107845156,28.46933413,15.82683492,3.7181257,93.7048703,4.59712548,28.50108915,17.32197597,3.567442265,93.92326856,2.601388502,28.25553718,16.73348521,3.594376899,92.7614764,3.110303033,28.00506238,15.99228295,3.453715895,92.73600495,3.971492927,28.57082836,17.17996306,3.516442736,90.4890624,2.722130585,28.26593749,16.25651462,3.572681788,86.00066355,2.665401875,28.1842794,15.70797464,3.423976944,90.03446699,3.420329168,28.13007929,16.4561881,3.562194615
