FID,LSTNight_2017,LSTDay_2017,Chlorophyll_2017,LSTNight_2018,LSTDay_2018,Chlorophyll_2018,LSTNight_2019,LSTDay_2019,Chlorophyll_2019,LSTNight_2020,LSTDay_2020,Chlorophyll_2020,LSTNight_2021,LSTDay_2021,Chlorophyll_2021,LSTNight_2022,LSTDay_2022,Chlorophyll_2022,LSTNight_2023,LSTDay_2023,Chlorophyll_2023,LSTNight_2024,LSTDay_2024,Chlorophyll_2024
0,19.74,26.59,1.569801847,21.05,26.79,1.411056863,20.63,26.54,1.314126365,20.04,26.53,1.487578291,20.25,26.89,1.48316407,20.4,27.09,1.648360581,20.57,26.62,1.738076756,20.41,24.85,1.626380563
1,20.69,28.37,1.511613428,21.28,27.92,1.38631711,21.61,28.13,1.531444057,20.84,27.53,1.548022547,20.61,27.33,1.454455152,20.95,28.71,1.830788236,21.25,27.86,1.74042255,20.93,25.76,1.590579169
2,20.37,27.47,1.7910305,21.29,27.59,1.782202141,21.05,26.64,1.405455721,20.56,26.87,1.778664916,21.06,26.84,1.578541101,21.11,27.47,2.121370515,20.97,27.03,1.629841944,21.05,25.09,1.548130072
3,15.98,26.8,1.162529295,17.34,26.83,1.282975289,17.01,26.48,1.218020683,17.06,27.75,1.418312108,17.34,28.86,1.138222572,17.34,26.63,1.588515848,17.14,27.02,1.485985314,17.27,24.21,1.502652367
4,18.87,27.19,1.746539332,20.85,26.99,1.664358114,20.53,26.09,1.473057054,19.61,26.41,1.735941886,19.77,27.16,1.707146644,20.01,26.64,1.768406794,20.33,26.49,2.023601247,20.04,24.71,1.826332751
5,17.85,25.63,1.584762543,19.36,25.86,1.533881112,18.76,25.67,1.281474388,18.42,26.34,1.591829155,18.88,26.38,1.579830671,18.47,25.98,1.810508391,18.85,25.96,1.803238904,18.73,23.74,1.921945466
6,19.81,26.56,1.805652505,21.26,26.93,1.888155315,21.11,25.79,1.680844336,20.46,26.15,1.941569359,20.73,26.3,8.882706047,20.72,27.06,7.724393852,20.94,26.29,1.892000522,20.8,24.77,5.632366755
7,17.8,24.74,1.432877475,19.34,25.12,1.404258911,18.66,24.54,1.330440505,18.59,25.36,1.612978684,18.63,26.12,1.471895305,18.31,25.27,1.646164452,18.86,25.01,1.395870342,18.6,23.42,1.574272558
8,19.67,26.91,1.549726675,21.22,26.56,1.672038479,20.53,26.29,1.477467918,19.83,26.62,1.835609709,20.1,27.1,1.624230482,20,26.92,1.849672156,20.53,26.49,1.904397387,20.21,24.85,1.980117013
9,0,0,1.382139365,0,0,1.486351747,0,0,1.193462527,0,0,1.674981663,0,0,1.36844177,0,0,1.54767715,0,0,1.570749458,0,0,1.702271898
