County_1,FIPS,State,Population,X,Y,Ag_MEAN_2017,Ag_MEAN_2018,Ag_MEAN_2019,Ag_MEAN_2020,Ag_MEAN_2021,Ag_MEAN_2022,Ag_MEAN_2023,Ag_MEAN_2024,Fs_MEAN_2017,Fs_MEAN_2018,Fs_MEAN_2019,Fs_MEAN_2020,Fs_MEAN_2021,Fs_MEAN_2022,Fs_MEAN_2023,Fs_MEAN_2024,Rn_MEAN_2017,Rn_MEAN_2018,Rn_MEAN_2019,Rn_MEAN_2020,Rn_MEAN_2021,Rn_MEAN_2022,Rn_MEAN_2023,Rn_MEAN_2024
Adams,17001,Illinois,65435,-91.1848,39.9877,0.79,0.74,0.78,0.73,0.8,0.8,0.79,0.8,0.79,0.78,0.79,0.77,0.82,0.81,0.8,0.81,0.76,0.76,0.77,0.74,0.79,0.78,0.77,0.7783
Alexander,17003,Illinois,5761,-89.3379,37.1964,0.74,0.78,0.55,0.71,0.76,0.76,0.77,0.76,0.83,0.85,0.8,0.82,0.83,0.84,0.84,0.84,0.67,0.65,0.65,0.68,0.68,0.6,0.59,0.6248
Bond,17005,Illinois,16426,-89.4356,38.8868,0.8,0.78,0.81,0.73,0.81,0.84,0.81,0.82,0.82,0.82,0.83,0.76,0.84,0.84,0.82,0.83,0.8,0.79,0.82,0.75,0.81,0.82,0.8,0.8093
Boone,17007,Illinois,53544,-88.8234,42.3231,0.8,0.72,0.8,0.74,0.79,0.82,0.83,0.81,0.8,0.75,0.8,0.76,0.78,0.82,0.81,0.8,0.76,0.73,0.79,0.74,0.79,0.8,0.75,0.7795
Brown,17009,Illinois,6578,-90.7503,39.9618,0.8,0.77,0.81,0.75,0.79,0.82,0.82,0.81,0.81,0.82,0.82,0.8,0.83,0.83,0.83,0.83,0.78,0.78,0.79,0.75,0.78,0.79,0.79,0.7871
Bureau,17011,Illinois,32628,-89.5287,41.4042,0.85,0.73,0.8,0.75,0.8,0.85,0.83,0.82,0.83,0.78,0.8,0.77,0.8,0.83,0.81,0.82,0.81,0.76,0.77,0.76,0.79,0.82,0.8,0.8047
Calhoun,17013,Illinois,4739,-90.6649,39.1721,0.8,0.75,0.79,0.74,0.79,0.83,0.8,0.81,0.81,0.81,0.82,0.8,0.83,0.83,0.83,0.83,0.79,0.81,0.81,0.79,0.83,0.79,0.78,0.8002
Carroll,17015,Illinois,14305,-89.9246,42.0702,0.84,0.72,0.84,0.76,0.79,0.84,0.83,0.82,0.82,0.79,0.82,0.79,0.81,0.83,0.81,0.82,0.79,0.74,0.76,0.73,0.74,0.78,0.76,0.7588
Cass,17017,Illinois,12147,-90.2474,39.9736,0.77,0.72,0.79,0.73,0.79,0.82,0.8,0.8,0.79,0.79,0.8,0.78,0.81,0.82,0.82,0.82,0.71,0.74,0.77,0.73,0.82,0.79,0.77,0.7947
Champaign,17019,Illinois,209689,-88.1992,40.1401,0.78,0.75,0.81,0.73,0.8,0.86,0.82,0.83,0.78,0.79,0.79,0.76,0.8,0.83,0.82,0.82,0.63,0.75,0.7,0.7,0.75,0.75,0.76,0.7524
Christian,17021,Illinois,32304,-89.2773,39.5458,0.8,0.72,0.83,0.72,0.79,0.86,0.79,0.82,0.79,0.78,0.81,0.75,0.81,0.84,0.8,0.82,0.77,0.77,0.79,0.72,0.79,0.87,0.79,0.8182
Clark,17023,Illinois,15441,-87.7877,39.3336,0.8,0.76,0.78,0.74,0.79,0.85,0.79,0.81,0.8,0.81,0.8,0.78,0.81,0.85,0.81,0.82,0.76,0.77,0.76,0.73,0.78,0.79,0.76,0.7771
