County,2017,2018,2019,2020,2021,2022,2023,2024
".Adams County, Illinois","66,057","65,623","65,435","65,622","65,077","64,526","64,435","64,109"
".Alexander County, Illinois","6,278","6,041","5,761","5,172","5,028","4,859","4,723","4,594"
".Bond County, Illinois","16,648","16,637","16,426","16,856","16,797","16,716","16,637","16,576"
".Boone County, Illinois","53,513","53,480","53,544","53,339","53,173","53,084","53,239","53,313"
".Brown County, Illinois","6,609","6,563","6,578","6,237","6,444","6,321","6,301","6,307"
".Bureau County, Illinois","33,137","32,959","32,628","33,225","32,999","32,862","32,758","32,486"
".Calhoun County, Illinois","4,851","4,829","4,739","4,403","4,392","4,335","4,293","4,224"
".Carroll County, Illinois","14,475","14,314","14,305","15,678","15,712","15,553","15,492","15,444"
".Cass County, Illinois","12,492","12,312","12,147","12,976","12,778","12,672","12,779","12,713"
".Champaign County, Illinois","210,425","209,918","209,689","206,252","207,232","208,033","209,813","212,374"
".Christian County, Illinois","33,007","32,653","32,304","33,982","33,731","33,410","33,319","33,247"
".Clark County, Illinois","15,812","15,600","15,441","15,448","15,375","15,211","15,218","15,076"
".Clay County, Illinois","13,270","13,266","13,184","13,273","13,166","13,053","12,945","12,821"
".Clinton County, Illinois","37,645","37,697","37,562","36,913","36,898","36,987","36,886","37,087"
".Coles County, Illinois","51,353","50,829","50,621","47,084","47,136","46,708","46,532","46,423"
".Cook County, Illinois","5,200,821","5,171,960","5,150,233","5,267,072","5,185,134","5,133,106","5,142,522","5,182,617"
".Crawford County, Illinois","18,975","18,830","18,667","18,637","18,673","18,516","18,342","18,388"
".Cumberland County, Illinois","10,880","10,804","10,766","10,437","10,358","10,296","10,272","10,305"
".DeKalb County, Illinois","104,309","104,349","104,897","100,368","100,584","100,569","100,661","101,335"
".De Witt County, Illinois","15,906","15,794","15,638","15,464","15,410","15,341","15,331","15,319"
".Douglas County, Illinois","19,629","19,458","19,465","19,780","19,714","19,702","19,733","19,824"
".DuPage County, Illinois","930,265","927,247","922,921","931,508","927,145","925,143","929,180","937,142"
".Edgar County, Illinois","17,390","17,360","17,161","16,808","16,601","16,426","16,442","16,398"
".Edwards County, Illinois","6,448","6,387","6,395","6,209","6,087","6,073","6,021","5,984"
".Effingham County, Illinois","34,123","34,181","34,008","34,707","34,514","34,336","34,453","34,602"
".Fayette County, Illinois","21,514","21,368","21,336","21,485","21,438","21,284","21,209","21,157"
".Ford County, Illinois","13,298","13,212","12,961","13,511","13,480","13,270","13,316","13,451"
".Franklin County, Illinois","38,995","38,695","38,469","37,717","37,484","37,226","37,156","37,033"
".Fulton County, Illinois","35,104","34,830","34,340","33,554","33,344","33,022","32,664","32,510"
".Gallatin County, Illinois","5,071","5,045","4,828","4,945","4,908","4,842","4,708","4,690"
".Greene County, Illinois","13,156","13,065","12,969","11,935","11,848","11,643","11,572","11,417"
".Grundy County, Illinois","50,622","50,973","51,054","52,535","52,984","53,153","53,587","53,835"
".Hamilton County, Illinois","8,181","8,148","8,116","7,993","7,908","7,976","7,886","7,818"
".Hancock County, Illinois","17,958","17,828","17,708","17,558","17,395","17,250","17,195","17,008"
".Hardin County, Illinois","3,922","3,893","3,821","3,646","3,640","3,588","3,599","3,550"
".Henderson County, Illinois","6,819","6,697","6,646","6,335","6,309","6,168","6,105","6,048"
".Henry County, Illinois","49,219","49,069","48,913","49,178","48,929","48,567","48,362","48,177"
".Iroquois County, Illinois","27,777","27,484","27,114","26,966","26,761","26,417","26,033","26,067"
".Jackson County, Illinois","57,904","57,289","56,750","53,264","52,986","53,004","52,867","53,199"
".Jasper County, Illinois","9,523","9,624","9,610","9,255","9,210","9,185","9,156","9,092"
".Jefferson County, Illinois","38,045","37,708","37,684","37,000","36,899","36,415","36,331","36,107"
".Jersey County, Illinois","21,912","21,795","21,773","21,492","21,350","21,222","21,158","21,150"
".Jo Daviess County, Illinois","21,495","21,331","21,235","22,098","22,016","21,863","21,749","21,528"
".Johnson County, Illinois","12,399","12,423","12,417","13,322","13,481","13,401","13,355","13,320"
".Kane County, Illinois","532,272","532,720","532,403","516,403","516,564","515,070","517,241","520,997"
".Kankakee County, Illinois","110,540","109,953","109,862","107,403","106,757","106,221","106,386","106,410"
".Kendall County, Illinois","126,152","127,717","128,990","132,351","135,023","137,602","140,229","143,171"
".Knox County, Illinois","50,577","49,978","49,699","49,806","49,333","48,713","48,663","48,716"
".Lake County, Illinois","702,475","699,587","696,535","713,426","712,733","712,143","714,207","718,604"
".LaSalle County, Illinois","109,622","109,159","108,669","109,409","109,166","108,210","108,397","108,390"
".Lawrence County, Illinois","16,027","15,813","15,678","15,283","15,246","14,937","14,886","14,801"
".Lee County, Illinois","34,540","34,296","34,096","34,063","34,202","33,928","33,606","33,544"
".Livingston County, Illinois","36,124","35,714","35,648","35,816","35,799","35,513","35,321","35,375"
".Logan County, Illinois","29,034","28,912","28,618","27,905","27,978","27,654","27,508","27,518"
".McDonough County, Illinois","30,373","29,984","29,682","27,116","26,906","26,965","26,952","26,662"
".McHenry County, Illinois","307,815","308,251","307,774","309,973","311,669","311,921","313,435","315,959"
".McLean County, Illinois","172,754","172,410","171,517","171,236","171,411","171,571","171,493","172,069"
".Macon County, Illinois","105,399","104,504","104,009","103,764","102,619","101,369","100,754","100,737"
".Macoupin County, Illinois","45,505","45,318","44,926","44,924","44,563","44,239","44,127","43,895"
".Madison County, Illinois","265,251","264,026","262,966","265,749","265,001","263,981","263,442","263,017"
".Marion County, Illinois","37,726","37,381","37,205","37,657","37,390","36,878","36,640","36,437"
".Marshall County, Illinois","11,668","11,483","11,438","11,710","11,665","11,657","11,650","11,552"
".Mason County, Illinois","13,677","13,533","13,359","13,053","12,826","12,717","12,588","12,543"
".Massac County, Illinois","14,291","14,023","13,772","14,137","13,953","13,858","13,751","13,627"
".Menard County, Illinois","12,293","12,289","12,196","12,272","12,170","12,076","11,996","11,963"
".Mercer County, Illinois","15,608","15,551","15,437","15,632","15,583","15,512","15,456","15,292"
".Monroe County, Illinois","34,179","34,373","34,637","34,953","35,007","35,107","35,144","34,969"
".Montgomery County, Illinois","28,781","28,691","28,414","28,242","28,128","27,971","27,756","27,615"
".Morgan County, Illinois","34,245","34,027","33,658","33,494","33,289","32,931","32,773","32,618"
".Moultrie County, Illinois","14,701","14,648","14,501","14,492","14,573","14,361","14,327","14,365"
".Ogle County, Illinois","50,993","50,781","50,643","51,762","51,540","51,437","51,391","51,345"
".Peoria County, Illinois","182,525","180,620","179,179","181,512","179,847","178,503","178,735","179,630"
".Perry County, Illinois","21,281","21,144","20,916","20,892","21,027","20,503","20,499","20,272"
".Piatt County, Illinois","16,422","16,366","16,344","16,683","16,764","16,678","16,720","16,628"
".Pike County, Illinois","15,668","15,595","15,561","14,637","14,621","14,492","14,339","14,258"
".Pope County, Illinois","4,183","4,184","4,177","3,758","3,763","3,757","3,715","3,703"
".Pulaski County, Illinois","5,520","5,434","5,335","5,179","5,093","4,966","4,957","4,879"
".Putnam County, Illinois","5,694","5,736","5,739","5,631","5,589","5,562","5,588","5,633"
".Randolph County, Illinois","32,297","32,177","31,782","30,084","30,207","30,101","29,993","29,903"
".Richland County, Illinois","15,837","15,695","15,513","15,805","15,784","15,536","15,502","15,362"
".Rock Island County, Illinois","143,828","142,621","141,879","144,360","142,943","141,812","141,939","142,731"
".St. Clair County, Illinois","262,600","261,360","259,686","257,070","255,210","252,947","252,094","251,149"
".Saline County, Illinois","23,963","23,789","23,491","23,741","23,368","23,141","22,988","22,826"
".Sangamon County, Illinois","197,072","195,639","194,672","196,223","195,468","194,483","194,216","194,345"
".Schuyler County, Illinois","6,948","6,870","6,768","6,870","6,835","6,755","6,725","6,750"
".Scott County, Illinois","4,983","4,927","4,951","5,074","4,984","4,898","4,850","4,880"
".Shelby County, Illinois","21,774","21,726","21,634","20,907","20,853","20,706","20,593","20,542"
".Stark County, Illinois","5,457","5,418","5,342","5,388","5,291","5,324","5,267","5,272"
".Stephenson County, Illinois","44,997","44,797","44,498","44,573","44,130","43,702","43,347","43,088"
".Tazewell County, Illinois","133,489","132,450","131,803","131,296","130,640","129,859","129,835","129,821"
".Union County, Illinois","16,968","16,832","16,653","17,298","17,035","16,901","16,866","16,886"
".Vermilion County, Illinois","77,689","76,702","75,758","74,010","73,175","72,089","71,551","71,106"
".Wabash County, Illinois","11,523","11,523","11,520","11,315","11,209","11,061","11,032","10,979"
".Warren County, Illinois","17,144","16,992","16,844","16,832","16,595","16,368","16,224","16,217"
".Washington County, Illinois","13,963","13,999","13,887","13,731","13,651","13,650","13,570","13,535"
".Wayne County, Illinois","16,412","16,326","16,215","16,161","15,995","15,903","15,875","15,928"
".White County, Illinois","13,903","13,618","13,537","13,814","13,767","13,636","13,482","13,395"
".Whiteside County, Illinois","55,955","55,553","55,175","55,574","55,320","54,602","54,582","54,657"
".Will County, Illinois","690,479","691,149","690,743","696,909","699,327","699,110","703,383","708,583"
".Williamson County, Illinois","67,049","66,982","66,597","67,121","66,895","66,565","66,737","67,064"
".Winnebago County, Illinois","284,681","283,630","282,572","284,963","283,413","282,081","282,214","283,790"
".Woodford County, Illinois","38,670","38,527","38,459","38,407","38,220","38,254","38,387","38,290"
