iter	Passed	Remaining
0	8	17981
1	17	17337
2	24	16373
3	53	26704
4	62	24945
5	69	23194
6	78	22295
7	86	21601
8	94	20800
9	99	19898
10	106	19237
11	113	18790
12	119	18306
13	125	17873
14	132	17486
15	137	17034
16	144	16843
17	150	16559
18	156	16337
19	162	16096
20	168	15882
21	175	15757
22	182	15687
23	190	15700
24	198	15671
25	206	15702
26	214	15676
27	222	15656
28	230	15648
29	238	15682
30	246	15683
31	254	15669
32	261	15613
33	268	15497
34	273	15362
35	279	15254
36	286	15190
37	292	15121
38	299	15047
39	306	15013
40	309	14771
41	315	14718
42	320	14568
43	327	14564
44	334	14530
45	341	14490
46	347	14454
47	354	14425
48	360	14356
49	366	14306
50	373	14262
51	378	14186
52	385	14148
53	390	14076
54	395	14003
55	402	13969
56	407	13902
57	413	13834
58	419	13812
59	424	13739
60	430	13668
61	436	13658
62	442	13616
63	448	13578
64	454	13526
65	456	13365
66	461	13302
67	467	13290
68	473	13264
69	479	13234
70	485	13203
71	491	13161
72	498	13163
73	503	13117
74	509	13070
75	516	13063
76	520	13007
77	525	12954
78	532	12937
79	537	12901
80	540	12800
81	543	12707
82	548	12678
83	554	12638
84	559	12597
85	561	12496
86	566	12457
87	572	12428
88	578	12417
89	584	12399
90	589	12366
91	595	12347
92	600	12319
93	606	12292
94	612	12279
95	618	12258
96	624	12244
97	629	12217
98	631	12123
99	636	12094
100	642	12075
101	647	12039
102	652	12008
103	657	11988
104	662	11959
105	667	11928
106	672	11903
107	677	11863
108	681	11824
109	686	11786
110	691	11773
111	697	11749
112	702	11730
113	707	11704
114	712	11683
115	718	11663
116	723	11645
117	729	11631
118	734	11608
119	739	11587
120	744	11557
121	749	11531
122	754	11514
123	759	11484
124	764	11460
125	769	11440
126	774	11427
127	779	11398
128	784	11373
129	785	11298
130	792	11308
131	797	11291
132	799	11227
133	805	11220
134	811	11212
135	816	11194
136	823	11197
137	828	11182
138	834	11174
139	841	11173
140	846	11160
141	853	11170
142	860	11175
143	862	11119
144	868	11117
145	874	11111
146	880	11099
147	887	11099
148	892	11087
149	898	11082
150	904	11070
151	909	11056
152	914	11044
153	921	11040
154	926	11023
155	932	11022
156	937	11005
157	942	10986
158	946	10953
159	950	10930
160	957	10932
161	963	10930
162	969	10923
163	974	10913
164	980	10903
165	985	10892
166	991	10880
167	996	10870
168	1002	10859
169	1007	10844
170	1013	10836
171	1018	10827
172	1021	10788
173	1026	10775
174	1031	10759
175	1036	10745
176	1041	10731
177	1047	10721
178	1052	10706
179	1055	10671
180	1061	10665
181	1066	10656
182	1071	10643
183	1073	10598
184	1079	10588
185	1084	10574
186	1088	10555
187	1093	10543
188	1099	10531
189	1104	10521
190	1109	10512
191	1115	10501
192	1120	10487
193	1125	10481
194	1130	10467
195	1136	10455
196	1141	10447
197	1147	10438
198	1151	10424
199	1158	10423
200	1163	10417
201	1169	10408
202	1175	10406
203	1181	10398
204	1186	10391
205	1192	10380
206	1196	10366
207	1201	10353
208	1207	10347
209	1212	10334
210	1217	10325
211	1223	10319
212	1228	10307
213	1233	10296
214	1239	10288
215	1244	10277
216	1249	10264
217	1254	10256
218	1256	10220
219	1261	10210
220	1266	10198
221	1272	10191
222	1275	10165
223	1280	10152
224	1285	10144
225	1290	10130
226	1295	10116
227	1300	10109
228	1303	10082
229	1308	10071
230	1313	10059
231	1318	10050
232	1324	10041
233	1329	10031
234	1334	10022
235	1339	10013
236	1344	10004
237	1350	9999
238	1355	9989
239	1360	9980
240	1366	9972
241	1371	9961
242	1373	9934
243	1378	9920
244	1383	9911
245	1388	9901
246	1393	9888
247	1398	9879
248	1403	9870
249	1409	9865
250	1415	9862
251	1420	9854
252	1426	9850
253	1432	9845
254	1437	9837
255	1438	9798
256	1442	9785
257	1448	9780
258	1454	9774
259	1459	9768
260	1465	9764
261	1470	9753
262	1475	9745
263	1477	9713
264	1482	9705
265	1487	9699
266	1492	9688
267	1499	9688
268	1504	9681
269	1510	9675
270	1516	9673
271	1522	9674
272	1529	9673
273	1534	9668
274	1536	9635
275	1537	9606
276	1544	9607
277	1550	9603
278	1555	9594
279	1561	9594
280	1567	9589
281	1572	9582
282	1578	9579
283	1579	9546
284	1585	9540
285	1591	9538
286	1597	9532
287	1603	9532
288	1611	9538
289	1616	9532
290	1621	9523
291	1627	9521
292	1633	9518
293	1635	9491
294	1642	9491
295	1648	9490
296	1649	9459
297	1656	9460
298	1662	9457
299	1667	9450
300	1673	9445
301	1678	9439
302	1684	9432
303	1689	9427
304	1694	9419
305	1699	9408
306	1705	9402
307	1709	9392
308	1712	9371
309	1717	9360
310	1723	9357
311	1726	9339
312	1731	9333
313	1737	9329
314	1738	9301
315	1744	9296
316	1749	9289
317	1751	9265
318	1757	9259
319	1759	9239
320	1765	9232
321	1770	9226
322	1775	9218
323	1780	9211
324	1786	9206
325	1791	9198
326	1796	9191
327	1802	9186
328	1806	9176
329	1811	9165
330	1816	9157
331	1821	9149
332	1826	9142
333	1831	9135
334	1837	9131
335	1842	9124
336	1847	9117
337	1853	9113
338	1858	9105
339	1863	9098
340	1869	9093
341	1874	9086
342	1879	9077
343	1885	9075
344	1890	9067
345	1895	9059
346	1897	9038
347	1902	9032
348	1908	9027
349	1913	9020
350	1919	9018
351	1925	9014
352	1931	9013
353	1937	9007
354	1942	9002
355	1948	8998
356	1953	8992
357	1959	8986
358	1965	8982
359	1970	8976
360	1975	8969
361	1981	8966
362	1982	8942
363	1987	8934
364	1993	8931
365	1999	8927
366	2005	8923
367	2011	8921
368	2017	8916
369	2022	8911
370	2028	8906
371	2033	8901
372	2039	8896
373	2045	8892
374	2050	8886
375	2056	8880
376	2062	8878
377	2067	8871
378	2073	8866
379	2079	8864
380	2084	8858
381	2089	8851
382	2094	8842
383	2100	8837
384	2104	8829
385	2111	8829
386	2117	8824
387	2122	8817
388	2129	8817
389	2134	8812
390	2141	8812
391	2147	8808
392	2152	8801
393	2159	8803
394	2165	8797
395	2170	8789
396	2177	8792
397	2183	8787
398	2188	8779
399	2194	8778
400	2199	8768
401	2204	8762
402	2210	8759
403	2215	8752
404	2221	8747
405	2226	8742
406	2231	8735
407	2238	8733
408	2243	8727
409	2248	8721
410	2254	8717
411	2260	8712
412	2265	8704
413	2271	8702
414	2276	8695
415	2281	8689
416	2288	8689
417	2294	8685
418	2299	8678
419	2307	8679
420	2314	8679
421	2322	8685
422	2328	8682
423	2335	8680
424	2341	8676
425	2346	8670
426	2353	8669
427	2358	8662
428	2363	8654
429	2369	8650
430	2374	8644
431	2379	8637
432	2385	8634
433	2392	8632
434	2398	8629
435	2404	8623
436	2409	8616
437	2414	8611
438	2419	8603
439	2424	8595
440	2429	8589
441	2435	8585
442	2440	8576
443	2445	8570
444	2451	8565
445	2456	8557
446	2461	8551
