,2017,2018,2019,2020,2021,2022,2023,2024,Overall
A00,0.0,0.0,0.0,0.0,0.08192838654958919,2.5210181043226998e-05,0.0,0.01711063697670401,0.13483402470233896
A01,0.0,0.0,0.10436296067312653,0.0,0.0,0.008452226761605744,0.0,0.0,0.1381269658059436
A02,1.0,0.0,0.3131650961997514,0.8376275884916371,0.0008758583278326531,0.09611886687438664,0.0,0.5964099256473552,0.7922110914205728
A03,0.07218369585027498,0.2753545456523822,0.29500521904133437,0.3061793370570259,0.0,1.0,0.0,0.7025135516673936,0.7460027210278298
A04,0.026346338467842935,0.3776640261976408,0.0,0.060244116891694524,0.026417082097657713,0.3623558350556186,0.5059688885043725,0.025719694596844964,0.4427090688761423
A05,0.0,0.17692965330378707,0.2794249525728869,0.050120137392988505,0.10564060647899051,0.004451403586781776,0.0,0.43128792755701406,0.3620408878902179
A06,0.049762402532139434,0.0,0.0505666917630056,0.01536340094353651,0.0,0.1340199989430703,0.07638009078899878,0.0,0.18920050752087048
A07,0.0,0.0,0.14850616339658154,0.0,0.002042407578314988,0.0695409796702293,0.0,0.0,0.16381595923734074
A08,0.0,0.23876517920363144,0.3345055531041,0.2974081748396522,0.0,0.18059578330779064,0.6081645217527142,0.16337628619728387,0.5476207669488306
A09,0.0,0.0,0.02838858220031511,0.37008266381986993,0.0,0.0,0.022003604044118875,0.0,0.21180223001512027
A10,0.5159513523553423,0.016995185601249053,0.0016262868848782503,0.0780322524293701,0.06199375661811544,0.06872374771834776,0.0,0.0,0.2891145813239186
A11,0.0,0.2709730973890113,0.06639056770974977,0.031027138635776136,0.28284187515415865,0.10227498454043445,0.0,0.24335675244011903,0.3498302483297003
A12,0.0,0.0,0.16147643381190063,0.019002089022145473,0.6056804156311675,0.004364880232467986,0.027867225841335316,0.15129714361932078,0.34332235665583827
A13,0.0,0.004198943623923994,0.0,0.02646325157411318,0.0,0.25325471967091656,0.0,0.0,0.17910069914368257
A14,0.0,0.6552404929140342,0.1338478164962541,0.0,0.017558621851491703,0.2233409981327594,0.0,0.2361605794195146,0.414315714267834
A15,0.0,0.0,0.011056871967100656,0.0,0.0013233985089798517,0.0,0.0,0.0,0.11407581467514157
A16,0.0,0.0,0.003979424197197023,0.08854236757241363,0.0,0.2631974766425454,0.0,0.04366284295204735,0.2067511515495754
