GEONAME,POP,state,county,year,GEOID
"Autauga County, Alabama",55601,01,001,2018,01001
"Baldwin County, Alabama",218022,01,003,2018,01003
"Barbour County, Alabama",24881,01,005,2018,01005
"Bibb County, Alabama",22400,01,007,2018,01007
"Blount County, Alabama",57840,01,009,2018,01009
"Bullock County, Alabama",10138,01,011,2018,01011
"Butler County, Alabama",19680,01,013,2018,01013
"Calhoun County, Alabama",114277,01,015,2018,01015
"Chambers County, Alabama",33615,01,017,2018,01017
"Cherokee County, Alabama",26032,01,019,2018,01019
"Chilton County, Alabama",44153,01,021,2018,01021
"Choctaw County, Alabama",12841,01,023,2018,01023
"Clarke County, Alabama",23920,01,025,2018,01025
"Clay County, Alabama",13275,01,027,2018,01027
"Cleburne County, Alabama",14987,01,029,2018,01029
"Coffee County, Alabama",51909,01,031,2018,01031
"Colbert County, Alabama",54762,01,033,2018,01033
"Conecuh County, Alabama",12277,01,035,2018,01035
"Coosa County, Alabama",10715,01,037,2018,01037
"Covington County, Alabama",36986,01,039,2018,01039
"Crenshaw County, Alabama",13824,01,041,2018,01041
"Cullman County, Alabama",83442,01,043,2018,01043
"Dale County, Alabama",48956,01,045,2018,01045
"Dallas County, Alabama",38310,01,047,2018,01047
"DeKalb County, Alabama",71385,01,049,2018,01049
"Elmore County, Alabama",81887,01,051,2018,01051
"Escambia County, Alabama",36748,01,053,2018,01053
"Etowah County, Alabama",102501,01,055,2018,01055
"Fayette County, Alabama",16433,01,057,2018,01057
"Franklin County, Alabama",31363,01,059,2018,01059
"Geneva County, Alabama",26314,01,061,2018,01061
"Greene County, Alabama",8233,01,063,2018,01063
"Hale County, Alabama",14726,01,065,2018,01065
"Henry County, Alabama",17209,01,067,2018,01067
"Houston County, Alabama",104722,01,069,2018,01069
"Jackson County, Alabama",51736,01,071,2018,01071
"Jefferson County, Alabama",659300,01,073,2018,01073
"Lamar County, Alabama",13844,01,075,2018,01075
"Lauderdale County, Alabama",92387,01,077,2018,01077
"Lawrence County, Alabama",32957,01,079,2018,01079
"Lee County, Alabama",163941,01,081,2018,01081
