,Location,Cases_2017,Cases_2018,Cases_2019,Cases_2020,Cases_2021,Cases_2022,Cases_2023,Cases_2024
0,1001,6.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
1,1003,3.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0
2,1007,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1015,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
5,1021,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,1029,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1033,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1043,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
10,1047,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,1051,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
12,1055,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,1057,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,1073,6.0,6.0,0.0,1.0,1.0,0.0,6.0,6.0
19,1083,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20,1089,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
21,1097,0.0,14.0,3.0,3.0,3.0,2.0,4.0,6.0
22,1099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1101,12.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0
24,1103,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
25,1107,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,1117,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
27,1119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1121,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
29,1123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,1125,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
31,1127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,2999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34,4001,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
35,4003,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
36,4007,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0
37,4009,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
38,4012,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,4013,93.0,24.0,155.0,4.0,1476.0,35.0,72.0,21.0
40,4015,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
41,4017,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
42,4019,5.0,0.0,10.0,2.0,103.0,11.0,1.0,4.0
43,4021,10.0,2.0,3.0,1.0,121.0,2.0,0.0,4.0
44,4023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,4025,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0
46,4027,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0
47,5007,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48,5011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,5017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,5019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,5027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,5029,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,5031,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,5033,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,5035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,5039,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
57,5041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,5043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
59,5045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,5051,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
61,5055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,5069,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
63,5071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,5079,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,5085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
