GEOID,Popln_2017,Popln_2018,Popln_2019,Popln_2020,Popln_2021,Popln_2022,Popln_2023,Popln_2024
02105,706248.0,702070.0,697180.0,693463.0,694860.0,750027.0,745869.0,
04001,789968.0,797151.0,801857.0,806758.0,822185.0,792397.0,799564.0,
04003,773867.0,776845.0,778159.0,778830.0,783317.0,792662.0,797954.0,
04005,803924.0,811988.0,817284.0,821362.0,818375.0,793633.0,799003.0,
05101,776151.0,785774.0,793627.0,800745.0,816464.0,789933.0,796108.0,
05103,738417.0,738833.0,739947.0,740270.0,752479.0,778421.0,776669.0,
05105,733693.0,734216.0,735069.0,739280.0,741491.0,789918.0,792934.0,
05107,769141.0,777354.0,785194.0,798194.0,811302.0,786030.0,797241.0,
05109,714326.0,711468.0,707798.0,705034.0,698788.0,785903.0,783052.0,
05111,787515.0,791509.0,793878.0,800969.0,803157.0,780750.0,781648.0,
10001,176824.0,178550.0,180786.0,183643.0,180078.0,182400.0,185043.0,192690.0
10003,559793.0,559335.0,558753.0,570719.0,567769.0,570567.0,573030.0,588093.0
10005,225322.0,229286.0,234225.0,241635.0,234045.0,240668.0,247799.0,271134.0
11001,693972.0,702455.0,705749.0,712816.0,683154.0,670587.0,672079.0,702250.0
12001,266944.0,269956.0,269043.0,271218.0,276171.0,279729.0,281751.0,291782.0
12003,28254.0,28353.0,29210.0,29566.0,28003.0,27969.0,28186.0,29325.0
12005,183563.0,185287.0,174705.0,171322.0,181384.0,181055.0,181368.0,199718.0
12007,27133.0,27732.0,28201.0,28593.0,27928.0,27816.0,27888.0,28075.0
12009,589162.0,596849.0,601942.0,608459.0,601573.0,610723.0,620533.0,658447.0
12011,1935878.0,1951260.0,1952778.0,1944375.0,1934551.0,1940907.0,1946127.0,2037472.0
12013,14437.0,14587.0,14105.0,14078.0,13863.0,13753.0,13593.0,13278.0
12015,182033.0,184998.0,188910.0,194711.0,184837.0,189900.0,195083.0,212122.0
12017,145647.0,147929.0,149657.0,153010.0,151888.0,155173.0,158693.0,170174.0
12019,212230.0,216072.0,219252.0,221770.0,216308.0,219650.0,223436.0,236760.0
12021,372880.0,378488.0,384902.0,392973.0,372797.0,380221.0,387681.0,416233.0
12023,69612.0,70503.0,71686.0,72654.0,69265.0,69832.0,70755.0,73977.0
12027,37241.0,37368.0,38001.0,38520.0,34027.0,34258.0,34719.0,36744.0
12029,16636.0,16700.0,16826.0,17057.0,16701.0,16737.0,16952.0,17614.0
12031,937934.0,950181.0,957755.0,966728.0,983153.0,995708.0,1007189.0,1055159.0
12033,313512.0,315534.0,318316.0,322364.0,318828.0,321296.0,323275.0,331275.0
12035,110510.0,112067.0,115081.0,118451.0,113888.0,117515.0,121710.0,136744.0
12037,11752.0,11736.0,12125.0,12201.0,12232.0,12276.0,12418.0,12979.0
12039,45993.0,45927.0,45660.0,45277.0,44233.0,43746.0,43642.0,44151.0
12041,17900.0,18284.0,18582.0,18885.0,17759.0,18070.0,18494.0,20233.0
12043,13608.0,13724.0,13811.0,14198.0,12183.0,12179.0,12324.0,13132.0
12045,16122.0,16164.0,13639.0,13534.0,15205.0,15002.0,14772.0,15876.0
12047,14389.0,14310.0,14428.0,14521.0,13973.0,13492.0,13445.0,14334.0
12049,27154.0,27168.0,26937.0,26822.0,25632.0,25528.0,25508.0,26068.0
