,2017,2018,2019,2020,2021,2022,2023,2024,Overall
Hum,0.0007989064047578486,0.0,0.0,1.0,1.0,0.6022069165474687,0.0,0.0,0.7397428413438503
Pre,0.09667801870338608,0.7064840711931638,0.0,0.00020859515212912262,0.02666698347413671,0.0,0.9700350808118671,0.0,0.5115589517614819
Tmax,0.046051529070828705,0.7107642019370936,1.0,0.02447284542658479,0.0,0.0,0.0,0.0,0.5062207165140054
Tmin,1.0,0.0,0.0,0.007335416382581286,0.5114335292858336,1.0,1.0,2.9314309996610552e-05,1.0
LSTMean,0.1603148184564309,1.0,0.0,7.941483543963754e-05,0.0,0.45821241375438587,0.9151039397489917,0.0,0.7200499714953231
WS,0.06112622919931549,0.034258785690373716,0.0,0.04789999500150411,0.0,0.0,0.18906260935163902,0.4958126484677938,0.2353531536973384
Chlorophyll,0.0,0.0,0.020587902949968852,0.0,0.0,0.2689050795316598,0.0,0.053559647441833974,0.09749141740384039
Ag_MEAN,0.0,0.043957510244267715,0.0,0.003496072056439342,0.0,0.24556463103758264,0.267531718346814,0.0,0.15930152576821574
Fs_MEAN,0.0,0.0,0.3231520235504963,0.001030630149226216,0.007694464070550974,0.02673706739907771,0.029091677902110584,0.035790559724674154,0.12035257252819437
Rn_MEAN,0.01811183892412404,0.007463312445252174,0.0,0.005796206313896974,0.0,0.027329938097264788,0.0,1.0,0.3008701316645056
