,County,2017,2018,2019,2020,2021,2022,2023,2024
0,Adams,66057,65623,65435,65622,65077,64526,64435,64109
1,Alexander,6278,6041,5761,5172,5028,4859,4723,4594
2,Bond,16648,16637,16426,16856,16797,16716,16637,16576
3,Boone,53513,53480,53544,53339,53173,53084,53239,53313
4,Brown,6609,6563,6578,6237,6444,6321,6301,6307
5,Bureau,33137,32959,32628,33225,32999,32862,32758,32486
6,Calhoun,4851,4829,4739,4403,4392,4335,4293,4224
7,Carroll,14475,14314,14305,15678,15712,15553,15492,15444
8,Cass,12492,12312,12147,12976,12778,12672,12779,12713
9,Champaign,210425,209918,209689,206252,207232,208033,209813,212374
10,Christian,33007,32653,32304,33982,33731,33410,33319,33247
11,Clark,15812,15600,15441,15448,15375,15211,15218,15076
12,Clay,13270,13266,13184,13273,13166,13053,12945,12821
13,Clinton,37645,37697,37562,36913,36898,36987,36886,37087
14,Coles,51353,50829,50621,47084,47136,46708,46532,46423
15,Cook,5200821,5171960,5150233,5267072,5185134,5133106,5142522,5182617
16,Crawford,18975,18830,18667,18637,18673,18516,18342,18388
17,Cumberland,10880,10804,10766,10437,10358,10296,10272,10305
18,DeKalb,104309,104349,104897,100368,100584,100569,100661,101335
19,De Witt,15906,15794,15638,15464,15410,15341,15331,15319
20,Douglas,19629,19458,19465,19780,19714,19702,19733,19824
21,DuPage,930265,927247,922921,931508,927145,925143,929180,937142
22,Edgar,17390,17360,17161,16808,16601,16426,16442,16398
23,Edwards,6448,6387,6395,6209,6087,6073,6021,5984
24,Effingham,34123,34181,34008,34707,34514,34336,34453,34602
25,Fayette,21514,21368,21336,21485,21438,21284,21209,21157
26,Ford,13298,13212,12961,13511,13480,13270,13316,13451
27,Franklin,38995,38695,38469,37717,37484,37226,37156,37033
28,Fulton,35104,34830,34340,33554,33344,33022,32664,32510
29,Gallatin,5071,5045,4828,4945,4908,4842,4708,4690
30,Greene,13156,13065,12969,11935,11848,11643,11572,11417
31,Grundy,50622,50973,51054,52535,52984,53153,53587,53835
32,Hamilton,8181,8148,8116,7993,7908,7976,7886,7818
33,Hancock,17958,17828,17708,17558,17395,17250,17195,17008
34,Hardin,3922,3893,3821,3646,3640,3588,3599,3550
35,Henderson,6819,6697,6646,6335,6309,6168,6105,6048
36,Henry,49219,49069,48913,49178,48929,48567,48362,48177
37,Iroquois,27777,27484,27114,26966,26761,26417,26033,26067
38,Jackson,57904,57289,56750,53264,52986,53004,52867,53199
39,Jasper,9523,9624,9610,9255,9210,9185,9156,9092
40,Jefferson,38045,37708,37684,37000,36899,36415,36331,36107
41,Jersey,21912,21795,21773,21492,21350,21222,21158,21150
42,Jo Daviess,21495,21331,21235,22098,22016,21863,21749,21528
43,Johnson,12399,12423,12417,13322,13481,13401,13355,13320
44,Kane,532272,532720,532403,516403,516564,515070,517241,520997
45,Kankakee,110540,109953,109862,107403,106757,106221,106386,106410
46,Kendall,126152,127717,128990,132351,135023,137602,140229,143171
47,Knox,50577,49978,49699,49806,49333,48713,48663,48716
48,Lake,702475,699587,696535,713426,712733,712143,714207,718604
49,LaSalle,109622,109159,108669,109409,109166,108210,108397,108390
50,Lawrence,16027,15813,15678,15283,15246,14937,14886,14801
51,Lee,34540,34296,34096,34063,34202,33928,33606,33544
52,Livingston,36124,35714,35648,35816,35799,35513,35321,35375
53,Logan,29034,28912,28618,27905,27978,27654,27508,27518
54,McDonough,30373,29984,29682,27116,26906,26965,26952,26662
55,McHenry,307815,308251,307774,309973,311669,311921,313435,315959
56,McLean,172754,172410,171517,171236,171411,171571,171493,172069
57,Macon,105399,104504,104009,103764,102619,101369,100754,100737
58,Macoupin,45505,45318,44926,44924,44563,44239,44127,43895
59,Madison,265251,264026,262966,265749,265001,263981,263442,263017
60,Marion,37726,37381,37205,37657,37390,36878,36640,36437
61,Marshall,11668,11483,11438,11710,11665,11657,11650,11552
62,Mason,13677,13533,13359,13053,12826,12717,12588,12543
63,Massac,14291,14023,13772,14137,13953,13858,13751,13627
64,Menard,12293,12289,12196,12272,12170,12076,11996,11963
65,Mercer,15608,15551,15437,15632,15583,15512,15456,15292
66,Monroe,34179,34373,34637,34953,35007,35107,35144,34969
67,Montgomery,28781,28691,28414,28242,28128,27971,27756,27615
68,Morgan,34245,34027,33658,33494,33289,32931,32773,32618
69,Moultrie,14701,14648,14501,14492,14573,14361,14327,14365
70,Ogle,50993,50781,50643,51762,51540,51437,51391,51345
71,Peoria,182525,180620,179179,181512,179847,178503,178735,179630
72,Perry,21281,21144,20916,20892,21027,20503,20499,20272
73,Piatt,16422,16366,16344,16683,16764,16678,16720,16628
74,Pike,15668,15595,15561,14637,14621,14492,14339,14258
75,Pope,4183,4184,4177,3758,3763,3757,3715,3703
76,Pulaski,5520,5434,5335,5179,5093,4966,4957,4879
77,Putnam,5694,5736,5739,5631,5589,5562,5588,5633
78,Randolph,32297,32177,31782,30084,30207,30101,29993,29903
79,Richland,15837,15695,15513,15805,15784,15536,15502,15362
80,Rock Island,143828,142621,141879,144360,142943,141812,141939,142731
81,St. Clair,262600,261360,259686,257070,255210,252947,252094,251149
82,Saline,23963,23789,23491,23741,23368,23141,22988,22826
83,Sangamon,197072,195639,194672,196223,195468,194483,194216,194345
84,Schuyler,6948,6870,6768,6870,6835,6755,6725,6750
85,Scott,4983,4927,4951,5074,4984,4898,4850,4880
86,Shelby,21774,21726,21634,20907,20853,20706,20593,20542
87,Stark,5457,5418,5342,5388,5291,5324,5267,5272
88,Stephenson,44997,44797,44498,44573,44130,43702,43347,43088
89,Tazewell,133489,132450,131803,131296,130640,129859,129835,129821
90,Union,16968,16832,16653,17298,17035,16901,16866,16886
91,Vermilion,77689,76702,75758,74010,73175,72089,71551,71106
92,Wabash,11523,11523,11520,11315,11209,11061,11032,10979
93,Warren,17144,16992,16844,16832,16595,16368,16224,16217
94,Washington,13963,13999,13887,13731,13651,13650,13570,13535
95,Wayne,16412,16326,16215,16161,15995,15903,15875,15928
96,White,13903,13618,13537,13814,13767,13636,13482,13395
97,Whiteside,55955,55553,55175,55574,55320,54602,54582,54657
98,Will,690479,691149,690743,696909,699327,699110,703383,708583
99,Williamson,67049,66982,66597,67121,66895,66565,66737,67064
100,Winnebago,284681,283630,282572,284963,283413,282081,282214,283790
101,Woodford,38670,38527,38459,38407,38220,38254,38387,38290
