,County,County,2023,Cases_2023,Hum_23,Pre_23,Tmax_23,Tmin_23,LSTMean_2023,WS_23,Chlorophyll_2023,Ag_MEAN_2023,Fs_MEAN_2023,Rn_MEAN_2023,Cases_normalized_2023
0,Adams,Adams,64435,1,80.156819,2.598918835,28.81206294,16.64385195,23.595,3.509917242,1.738076756,0.79,0.8,0.77,1.5519515791107317
1,Alexander,Alexander,4723,0,92.35483785,4.62789625,29.96826682,18.33339318,24.555,2.979814349,1.74042255,0.77,0.84,0.59,0.0
2,Bond,Bond,16637,0,87.93172214,3.354471728,28.87877013,16.41571503,24.0,3.666769333,1.629841944,0.81,0.82,0.8,0.0
3,Boone,Boone,53239,0,84.94161103,3.024114313,26.70637253,14.31515461,22.08,3.842082198,1.485985314,0.83,0.81,0.75,0.0
4,Brown,Brown,6301,0,83.88259533,2.443423704,28.59551049,16.055039,23.409999999999997,3.595764287,2.023601247,0.82,0.83,0.79,0.0
5,Bureau,Bureau,32758,0,84.58572387,3.044702875,27.59148332,15.10760023,22.405,3.489477051,1.803238904,0.83,0.81,0.8,0.0
6,Calhoun,Calhoun,4293,0,83.69184673,2.543989796,29.50914493,17.09776642,23.615000000000002,3.495144753,1.892000522,0.8,0.83,0.78,0.0
7,Carroll,Carroll,15492,0,83.37552146,2.514305002,27.51169343,14.6070582,21.935000000000002,3.647926402,1.395870342,0.83,0.81,0.76,0.0
8,Cass,Cass,12779,0,85.59834637,2.362457298,29.03254434,15.94207841,23.509999999999998,3.648923074,1.904397387,0.8,0.82,0.77,0.0
9,Champaign,Champaign,209813,1,86.00066355,2.665401875,28.1842794,15.70797464,0.0,3.423976944,1.570749458,0.82,0.82,0.76,0.47661489040240596
10,Christian,Christian,33319,0,86.13751364,2.615162441,28.61341392,16.23372802,23.395000000000003,3.595321633,1.683479298,0.79,0.8,0.79,0.0
11,Clark,Clark,15218,0,88.55721758,3.00797057,28.5408586,15.9457016,22.935,3.428019147,1.397863419,0.79,0.81,0.76,0.0
12,Clay,Clay,12945,0,87.54047358,3.383493363,29.63685791,16.88188176,0.0,3.454142608,1.655847678,0.8,0.82,0.8,0.0
