FIPS,County,State,Population,X,Y,Total_Birds_2002,Mosquito_Batch_2002,Total_Mammals_2002,Total_Birds_2003,Mosquito_Batch_2003,Total_Mammals_2003,Total_Birds_2004,Mosquito_Batch_2004,Total_Mammals_2004,Total_Birds_2005,Mosquito_Batch_2005,Total_Mammals_2005,Total_Birds_2006,Mosquito_Batch_2006,Total_Mammals_2006,Total_Birds_2007,Mosquito_Batch_2007,Total_Mammals_2007,Total_Birds_2008,Mosquito_Batch_2008,Total_Mammals_2008,Total_Birds_2009,Mosquito_Batch_2009,Total_Mammals_2009,Total_Birds_2010,Mosquito_Batch_2010,Total_Mammals_2010,Total_Birds_2011,Mosquito_Batch_2011,Total_Mammals_2011,Total_Birds_2012,Mosquito_Batch_2012,Total_Mammals_2012,Total_Birds_2013,Mosquito_Batch_2013,Total_Mammals_2013,Total_Birds_2014,Mosquito_Batch_2014,Total_Mammals_2014,Total_Birds_2015,Mosquito_Batch_2015,Total_Mammals_2015,Total_Birds_2016,Mosquito_Batch_2016,Total_Mammals_2016,Total_Birds_2017,Mosquito_Batch_2017,Total_Mammals_2017,Total_Birds_2018,Mosquito_Batch_2018,Total_Mammals_2018,Total_Birds_2019,Mosquito_Batch_2019,Total_Mammals_2019,Total_Birds_2020,Mosquito_Batch_2020,Total_Mammals_2020,Total_Birds_2021,Mosquito_Batch_2021,Total_Mammals_2021,Total_Birds_2022,Mosquito_Batch_2022,Total_Mammals_2022,Total_Birds_2023,Mosquito_Batch_2023,Total_Mammals_2023,Total_Birds_2024,Mosquito_Batch_2024,Total_Mammals_2024
17001,Adams,Illinois,65435,-91.1848,39.9877,2,0,5,1,0,2,1,5,0,3,3,0,1,18,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
17003,Alexander,Illinois,5761,-89.3379,37.1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17005,Bond,Illinois,16426,-89.4356,38.8868,6,0,1,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17007,Boone,Illinois,53544,-88.8234,42.3231,1,0,3,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,10,0,0,2,0,0,3,0,1,0,0,0,12,0,0,5,0,0,0,0,0,2,0,0,4,0,2,5,0,2,10,0,0,2,0
17009,Brown,Illinois,6578,-90.7503,39.9618,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17011,Bureau,Illinois,32628,-89.5287,41.4042,3,0,14,0,0,1,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0
17013,Calhoun,Illinois,4739,-90.6649,39.1721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17015,Carroll,Illinois,14305,-89.9246,42.0702,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,4,0
17017,Cass,Illinois,12147,-90.2474,39.9736,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17019,Champaign,Illinois,209689,-88.1992,40.1401,12,45,28,14,12,0,4,33,1,2,4,1,1,103,0,0,16,0,0,0,0,2,4,0,4,15,0,1,13,0,1,43,0,3,58,0,1,6,0,0,8,0,4,9,0,2,8,0,2,23,0,0,0,0,0,9,0,2,4,0,0,0,0,0,17,0,3,9,0
17021,Christian,Illinois,32304,-89.2773,39.5458,2,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,7,0
