,FIPS,County,State,Population,X,Y,HC_2002,HC_2003,HC_2004,HC_2005,HC_2006,HC_2007,HC_2008,HC_2009,HC_2010,HC_2011,HC_2012,HC_2013,HC_2014,HC_2015,HC_2016,HC_2017,HC_2018,HC_2019,HC_2020,HC_2021,HC_2022,HC_2023,HC_2024,HC_2002_per_100k,HC_2003_per_100k,HC_2004_per_100k,HC_2005_per_100k,HC_2006_per_100k,HC_2007_per_100k,HC_2008_per_100k,HC_2009_per_100k,HC_2010_per_100k,HC_2011_per_100k,HC_2012_per_100k,HC_2013_per_100k,HC_2014_per_100k,HC_2015_per_100k,HC_2016_per_100k,HC_2017_per_100k,HC_2018_per_100k,HC_2019_per_100k,HC_2020_per_100k,HC_2021_per_100k,HC_2022_per_100k,HC_2023_per_100k,HC_2024_per_100k
0,17001,Adams,Illinois,65435,-91.1848,39.9877,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1.5282341254680218,0.0,1.5282341254680218,0.0,1.5282341254680218,0.0,0.0,0.0,0.0,0.0,0.0,1.5282341254680218,0.0,1.5282341254680218,0.0,1.5282341254680218,0.0,0.0,0.0,0.0,0.0,1.5282341254680218,0.0
1,17003,Alexander,Illinois,5761,-89.3379,37.1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17005,Bond,Illinois,16426,-89.4356,38.8868,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,6.08790941190795,0.0,6.08790941190795,0.0,0.0,0.0,0.0,0.0,12.1758188238159,6.08790941190795,0.0,0.0,0.0,0.0,6.08790941190795,0.0,0.0,0.0,0.0,0.0,0.0
3,17007,Boone,Illinois,53544,-88.8234,42.3231,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1.8676228895861346,0.0,0.0,3.7352457791722693,3.7352457791722693,0.0,0.0,0.0,0.0,0.0,0.0,1.8676228895861346,0.0,1.8676228895861346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,17009,Brown,Illinois,6578,-90.7503,39.9618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15.202189115232594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,17011,Bureau,Illinois,32628,-89.5287,41.4042,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0648522741203874,0.0,0.0,0.0,3.0648522741203874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17013,Calhoun,Illinois,4739,-90.6649,39.1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17015,Carroll,Illinois,14305,-89.9246,42.0702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6.990562740300595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,17017,Cass,Illinois,12147,-90.2474,39.9736,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.232485387338437,0.0,8.232485387338437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,17019,Champaign,Illinois,209689,-88.1992,40.1401,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0.9537934750988368,0.4768967375494184,0.0,0.0,0.0,0.0,0.0,0.0,0.4768967375494184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9537934750988368,0.0,0.0,0.4768967375494184,0.0,0.4768967375494184,0.4768967375494184
